point_id,longitude,latitude,x_utm,y_utm,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,sample_class,authoritative_label,pu_training_target,source
unlabeled_r316_c492,79.71882054626134,21.69873810700895,367470.0,2400030.0,1687.0,1943.0,2294.0,3224.0,4048.0,3259.0,0.16853933036327362,-0.11331132799386978,1.3598103523254395,1.2420988082885742,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r202_c36,79.63048037201129,21.71862715812077,358350.0,2402310.0,1240.0,1425.0,1433.0,3033.0,2928.0,2118.0,0.35826241970062256,0.017614495009183884,1.1556451320648193,1.3824362754821777,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r435_c313,79.68441443991077,21.67696972525602,363890.0,2397650.0,1233.0,1407.0,1440.0,2722.0,3037.0,2252.0,0.3080250024795532,-0.05469699576497078,1.1678831577301025,1.3485790491104126,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r126_c594,79.73823842316517,21.73321347532359,369510.0,2403830.0,1225.0,1537.0,1335.0,4288.0,2820.0,2064.0,0.5251644849777222,0.20652785897254944,1.0897959470748901,1.366279125213623,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r437_c536,79.72751798451384,21.67694455399843,368350.0,2397610.0,1881.0,2211.0,2643.0,3253.0,4021.0,3591.0,0.10345996916294098,-0.10558152198791504,1.4051036834716797,1.119743824005127,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r478_c397,79.70071907320498,21.66932962702214,365570.0,2396790.0,1181.0,1346.0,1326.0,2822.0,2980.0,2147.0,0.3606557250022888,-0.027231989428400993,1.1227773427963257,1.3879832029342651,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r76_c226,79.6670025112484,21.74168840026196,362150.0,2404830.0,1386.0,1590.0,1767.0,2659.0,2967.0,2340.0,0.2015363723039627,-0.05474582314491272,1.27489173412323,1.2679487466812134,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r25_c262,79.67387884636445,21.750957371819833,362870.0,2405850.0,1320.0,1578.0,1535.0,2205.0,2345.0,1846.0,0.17914438247680664,-0.03076923079788685,1.1628787517547607,1.2703142166137695,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r76_c306,79.68247123858127,21.741812246003573,363750.0,2404830.0,1343.0,1543.0,1732.0,2887.0,3822.0,2874.0,0.25005412101745605,-0.1393650323152542,1.2896500825881958,1.329853892326355,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r80_c538,79.72733752865643,21.74144062014484,368390.0,2404750.0,1245.0,1492.0,1379.0,3498.0,2887.0,2201.0,0.4344884157180786,0.09569302946329117,1.1076304912567139,1.3116765022277832,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r319_c168,79.65619564022887,21.697700357453115,360990.0,2399970.0,1254.0,1447.0,1538.0,2829.0,3355.0,2530.0,0.29562628269195557,-0.08505821228027344,1.2264752388000488,1.3260869979858398,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r336_c447,79.71015401911141,21.695057619525052,366570.0,2399630.0,1898.0,2224.0,2737.0,3883.0,5030.0,3975.0,0.17311178147792816,-0.12868843972682953,1.4420442581176758,1.2654087543487549,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r431_c519,79.72422274514993,21.67800324410716,368010.0,2397730.0,1185.0,1351.0,1067.0,978.0,1188.0,1181.0,-0.04352078214287758,-0.0969529077410698,0.9004219174385071,1.0059272050857544,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r433_c550,79.73021752868834,21.67768789834842,368630.0,2397690.0,1670.0,1875.0,2295.0,3390.0,4568.0,3539.0,0.19261214137077332,-0.14802713692188263,1.3742514848709106,1.2907601594924927,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r22_c15,79.62611150058069,21.751109642101383,357930.0,2405910.0,1306.0,1493.0,1614.0,2874.0,3193.0,2350.0,0.2807486653327942,-0.05257952958345413,1.2358345985412598,1.3587234020233154,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r231_c8,79.62511707648233,21.71334360819789,357790.0,2401730.0,1387.0,1636.0,1699.0,3506.0,3468.0,2544.0,0.34716618061065674,0.005448809824883938,1.2249459028244019,1.3632075786590576,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r294_c68,79.63682333330766,21.702058723969785,358990.0,2400470.0,1392.0,1591.0,1781.0,3128.0,3381.0,2467.0,0.2743939757347107,-0.038869258016347885,1.279453992843628,1.3704904317855835,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r542_c537,79.72787765273176,21.65797738001497,368370.0,2395510.0,1275.0,1480.0,1514.0,2723.0,3273.0,2385.0,0.2853434085845947,-0.09172781556844711,1.1874510049819946,1.3723270893096924,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
