point_id,longitude,latitude,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,label,sample_class,sample_type,location,source,source_report,NUID,page
ME/JBP/2024/BRS_24/49367,79.635,21.665,1350.0,1538.0,1661.0,2857.0,3518.0,2635.0,0.2647188901901245,-0.10368627309799194,1.2303704023361206,1.3351043462753296,26.45,1,authoritative_manganese_positive,BRS,"Mineralization associated quartzo- feldspathic material, granular in nature in shallow oldworking pit",Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_25/49367,79.653,21.673,1350.0,1526.0,1662.0,2950.0,3407.0,2476.0,0.2792714536190033,-0.07188925892114639,1.2311111688613892,1.3760097026824951,9.45,1,authoritative_manganese_positive,BRS,Mineralization observed as leteritic debris,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_26/49367,79.65,21.673,1178.0,1387.0,1295.0,3106.0,2579.0,1846.0,0.4114973843097687,0.09270008653402328,1.099320888519287,1.3970746994018555,26.0,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein and yellowish color feldspathic material in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_27/49367,79.632,21.665,1235.0,1385.0,1448.0,2828.0,3030.0,2195.0,0.32273152470588684,-0.03448275849223137,1.1724696159362793,1.380410075187683,15.68,1,authoritative_manganese_positive,BRS,Mineralization associated light pink color feldspathic material in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_28/49367,79.644,21.671,1241.0,1462.0,1464.0,2949.0,3086.0,2234.0,0.3365057706832886,-0.02270091138780117,1.1796938180923462,1.3813786506652832,0.87,1,authoritative_manganese_positive,BRS,Mineralization observed as leteritic debris over the country rock of biotite gneiss,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_29/49367,79.65,21.672,1236.0,1420.0,1384.0,3158.0,2809.0,1976.0,0.3905768394470215,0.058488354086875916,1.1197410821914673,1.4215587377548218,4.32,1,authoritative_manganese_positive,BRS,Mineralization observed as leteritic debris over the country rock of biotite gneiss,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,119
ME/JBP/2024/BRS_30/49367,79.666,21.679,1274.0,1447.0,1532.0,2469.0,3271.0,2527.0,0.23419144749641418,-0.13972125947475433,1.2025117874145508,1.2944202423095703,53.29,1,authoritative_manganese_positive,BRS,Mineralization observed as leteritic debris as hard compact ore,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_31/49367,79.638,21.682,1169.0,1322.0,1280.0,3001.0,2505.0,1756.0,0.40200889110565186,0.090083546936512,1.094952940940857,1.4265376329421997,8.88,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz and pink color material in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_32/49367,79.638,21.683,1226.0,1395.0,1369.0,2833.0,2745.0,1978.0,0.34840551018714905,0.015776263549923897,1.116639494895935,1.3877654075622559,17.36,1,authoritative_manganese_positive,BRS,Mineralization associated with light pink gonditic rock with in fractures in oldworking,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_33/49367,79.633,21.698,1210.0,1402.0,1320.0,3012.0,2628.0,1871.0,0.39058172702789307,0.06808510422706604,1.0909091234207153,1.4045964479446411,17.37,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
